date,state,district,pincode,age_0_5,age_5_17,age_18_greater
12-09-2025,Tamil Nadu,Vellore,632101,2,0,0
12-09-2025,Tamil Nadu,Vellore,632104,2,0,0
12-09-2025,Tamil Nadu,Vellore,632509,5,0,0
12-09-2025,Tamil Nadu,Vellore,632517,0,1,0
12-09-2025,Tamil Nadu,Vellore,632520,3,0,0
12-09-2025,Tamil Nadu,Vellore,632603,1,0,0
12-09-2025,Tamil Nadu,Vellore,635652,2,1,0
12-09-2025,Tamil Nadu,Vellore,635752,5,0,0
12-09-2025,Tamil Nadu,Vellore,635805,2,0,0
12-09-2025,Tamil Nadu,Vellore,635808,0,1,0
12-09-2025,Tamil Nadu,Vellore,635851,5,2,0
12-09-2025,Tamil Nadu,Vellore,635852,0,1,0
16-09-2025,Tamil Nadu,Vellore,631002,1,0,0
16-09-2025,Tamil Nadu,Vellore,632012,1,1,0
16-09-2025,Tamil Nadu,Vellore,632202,2,0,0
16-09-2025,Tamil Nadu,Vellore,632209,1,0,0
16-09-2025,Tamil Nadu,Vellore,632508,2,2,0
16-09-2025,Tamil Nadu,Vellore,632509,8,2,0
16-09-2025,Tamil Nadu,Vellore,635653,1,0,0
16-09-2025,Tamil Nadu,Vellore,635854,1,0,0
15-09-2025,Tamil Nadu,Vellore,631102,4,0,0
15-09-2025,Tamil Nadu,Vellore,632002,1,0,0
15-09-2025,Tamil Nadu,Vellore,632401,1,0,0
15-09-2025,Tamil Nadu,Vellore,632404,3,1,0
15-09-2025,Tamil Nadu,Vellore,632405,1,0,0
15-09-2025,Tamil Nadu,Vellore,632503,5,0,0
15-09-2025,Tamil Nadu,Vellore,632521,3,0,0
15-09-2025,Tamil Nadu,Vellore,632602,1,0,0
15-09-2025,Tamil Nadu,Vellore,635601,0,1,0
15-09-2025,Tamil Nadu,Vellore,635710,2,0,0
15-09-2025,Tamil Nadu,Vellore,635754,1,0,0
15-09-2025,Tamil Nadu,Vellore,635804,1,0,0
15-09-2025,Tamil Nadu,Vellore,635814,1,0,0
17-09-2025,Tamil Nadu,Vellore,631002,2,1,0
17-09-2025,Tamil Nadu,Vellore,632007,1,1,0
17-09-2025,Tamil Nadu,Vellore,632058,1,0,0
17-09-2025,Tamil Nadu,Vellore,632104,1,0,0
17-09-2025,Tamil Nadu,Vellore,632106,1,0,0
17-09-2025,Tamil Nadu,Vellore,632114,0,1,0
17-09-2025,Tamil Nadu,Vellore,632202,1,0,0
17-09-2025,Tamil Nadu,Vellore,632401,2,0,0
17-09-2025,Tamil Nadu,Vellore,632405,1,0,0
17-09-2025,Tamil Nadu,Vellore,632509,3,0,0
17-09-2025,Tamil Nadu,Vellore,632515,1,0,0
17-09-2025,Tamil Nadu,Vellore,635602,2,0,0
17-09-2025,Tamil Nadu,Vellore,635754,0,1,0
17-09-2025,Tamil Nadu,Vellore,635901,1,0,0
18-09-2025,Tamil Nadu,Vellore,631001,1,0,0
18-09-2025,Tamil Nadu,Vellore,631052,0,1,0
18-09-2025,Tamil Nadu,Vellore,631102,2,1,0
18-09-2025,Tamil Nadu,Vellore,632013,1,0,0
18-09-2025,Tamil Nadu,Vellore,632058,1,0,0
18-09-2025,Tamil Nadu,Vellore,632113,2,1,0
18-09-2025,Tamil Nadu,Vellore,632201,1,0,0
18-09-2025,Tamil Nadu,Vellore,632501,2,0,0
18-09-2025,Tamil Nadu,Vellore,632507,2,0,0
18-09-2025,Tamil Nadu,Vellore,632519,1,0,0
18-09-2025,Tamil Nadu,Vellore,635754,1,0,0
18-09-2025,Tamil Nadu,Vellore,635808,1,0,0
19-09-2025,Tamil Nadu,Vellore,631002,1,0,0
19-09-2025,Tamil Nadu,Vellore,631102,4,0,0
19-09-2025,Tamil Nadu,Vellore,632002,4,2,0
19-09-2025,Tamil Nadu,Vellore,632006,1,0,0
19-09-2025,Tamil Nadu,Vellore,632007,2,0,0
19-09-2025,Tamil Nadu,Vellore,632102,1,0,0
19-09-2025,Tamil Nadu,Vellore,632311,2,0,0
19-09-2025,Tamil Nadu,Vellore,632501,1,0,0
19-09-2025,Tamil Nadu,Vellore,632503,3,0,0
19-09-2025,Tamil Nadu,Vellore,632512,2,0,0
19-09-2025,Tamil Nadu,Vellore,632513,4,1,0
19-09-2025,Tamil Nadu,Vellore,632520,2,0,0
19-09-2025,Tamil Nadu,Vellore,632521,2,0,0
19-09-2025,Tamil Nadu,Vellore,632603,1,0,0
19-09-2025,Tamil Nadu,Vellore,635602,4,0,0
19-09-2025,Tamil Nadu,Vellore,635653,4,0,0
19-09-2025,Tamil Nadu,Vellore,635702,2,0,0
19-09-2025,Tamil Nadu,Vellore,635751,3,1,0
19-09-2025,Tamil Nadu,Vellore,635806,1,0,0
19-09-2025,Tamil Nadu,Vellore,635814,1,0,0
19-09-2025,Tamil Nadu,Vellore,635851,1,0,0
19-09-2025,Tamil Nadu,Vellore,635901,1,0,0
20-09-2025,Tamil Nadu,Vellore,631002,4,0,0
20-09-2025,Tamil Nadu,Vellore,632002,4,0,0
20-09-2025,Tamil Nadu,Vellore,632103,2,0,0
20-09-2025,Tamil Nadu,Vellore,632209,1,0,0
20-09-2025,Tamil Nadu,Vellore,632512,1,0,0
20-09-2025,Tamil Nadu,Vellore,632515,1,0,0
20-09-2025,Tamil Nadu,Vellore,635752,1,0,0
22-09-2025,Tamil Nadu,Vellore,631051,2,0,0
22-09-2025,Tamil Nadu,Vellore,631052,2,0,0
22-09-2025,Tamil Nadu,Vellore,632012,1,0,0
22-09-2025,Tamil Nadu,Vellore,632502,1,0,0
22-09-2025,Tamil Nadu,Vellore,632506,2,0,0
22-09-2025,Tamil Nadu,Vellore,632515,0,1,0
22-09-2025,Tamil Nadu,Vellore,635751,7,0,0
22-09-2025,Tamil Nadu,Vellore,635801,1,0,0
22-09-2025,Tamil Nadu,Vellore,635805,1,1,0
22-09-2025,Tamil Nadu,Vellore,635807,2,0,0
25-09-2025,Tamil Nadu,Vellore,631004,1,0,0
25-09-2025,Tamil Nadu,Vellore,632059,1,0,0
25-09-2025,Tamil Nadu,Vellore,632202,2,0,0
25-09-2025,Tamil Nadu,Vellore,632504,1,0,0
25-09-2025,Tamil Nadu,Vellore,632507,1,0,0
25-09-2025,Tamil Nadu,Vellore,632509,3,0,0
25-09-2025,Tamil Nadu,Vellore,632512,2,1,0
25-09-2025,Tamil Nadu,Vellore,635602,5,0,0
25-09-2025,Tamil Nadu,Vellore,635654,1,0,0
25-09-2025,Tamil Nadu,Vellore,635701,1,0,0
25-09-2025,Tamil Nadu,Vellore,635804,0,1,0
25-09-2025,Tamil Nadu,Vellore,635810,1,0,0
23-09-2025,Tamil Nadu,Vellore,632001,2,0,0
23-09-2025,Tamil Nadu,Vellore,632101,1,0,0
23-09-2025,Tamil Nadu,Vellore,632401,2,0,0
23-09-2025,Tamil Nadu,Vellore,632508,2,0,0
23-09-2025,Tamil Nadu,Vellore,632509,1,0,0
23-09-2025,Tamil Nadu,Vellore,632512,3,0,0
23-09-2025,Tamil Nadu,Vellore,632513,6,1,0
23-09-2025,Tamil Nadu,Vellore,632514,1,0,0
23-09-2025,Tamil Nadu,Vellore,632531,3,0,0
23-09-2025,Tamil Nadu,Vellore,635601,4,0,0
23-09-2025,Tamil Nadu,Vellore,635654,0,1,0
23-09-2025,Tamil Nadu,Vellore,635655,1,0,0
23-09-2025,Tamil Nadu,Vellore,635808,0,1,0
24-09-2025,Tamil Nadu,Vellore,631051,1,0,0
24-09-2025,Tamil Nadu,Vellore,631052,1,0,0
24-09-2025,Tamil Nadu,Vellore,632007,1,0,0
24-09-2025,Tamil Nadu,Vellore,632013,2,0,0
24-09-2025,Tamil Nadu,Vellore,632104,1,0,0
24-09-2025,Tamil Nadu,Vellore,632513,5,1,0
24-09-2025,Tamil Nadu,Vellore,632519,1,0,0
24-09-2025,Tamil Nadu,Vellore,635702,1,0,0
24-09-2025,Tamil Nadu,Vellore,635754,3,0,0
24-09-2025,Tamil Nadu,Vellore,635852,1,0,0
24-09-2025,Tamil Nadu,Vellore,635854,1,0,0
27-09-2025,Tamil Nadu,Vellore,631102,1,0,0
27-09-2025,Tamil Nadu,Vellore,632506,1,0,0
27-09-2025,Tamil Nadu,Vellore,632516,1,0,0
27-09-2025,Tamil Nadu,Vellore,635814,1,1,0
26-09-2025,Tamil Nadu,Vellore,631002,1,1,0
26-09-2025,Tamil Nadu,Vellore,632101,2,1,0
26-09-2025,Tamil Nadu,Vellore,632103,1,0,0
26-09-2025,Tamil Nadu,Vellore,632209,3,1,0
26-09-2025,Tamil Nadu,Vellore,632513,3,0,0
26-09-2025,Tamil Nadu,Vellore,632517,2,0,0
26-09-2025,Tamil Nadu,Vellore,635801,2,0,0
26-09-2025,Tamil Nadu,Vellore,635810,6,1,0
26-09-2025,Tamil Nadu,Vellore,635814,1,0,0
29-09-2025,Tamil Nadu,Vellore,632202,1,0,0
29-09-2025,Tamil Nadu,Vellore,632401,1,0,0
29-09-2025,Tamil Nadu,Vellore,632505,1,0,0
29-09-2025,Tamil Nadu,Vellore,632507,1,0,0
26-10-2025,Tamil Nadu,Vellore,631004,1,0,0
26-10-2025,Tamil Nadu,Vellore,632107,1,0,0
26-10-2025,Tamil Nadu,Vellore,632318,1,0,0
26-10-2025,Tamil Nadu,Vellore,632512,0,1,0
26-10-2025,Tamil Nadu,Vellore,632513,1,1,0
26-10-2025,Tamil Nadu,Vellore,635754,1,1,0
26-10-2025,Tamil Nadu,Vellore,635805,2,0,0
26-10-2025,Tamil Nadu,Vellore,635852,0,1,0
26-10-2025,Tamil Nadu,Vellore,635854,1,0,0
13-10-2025,Tamil Nadu,Vellore,631003,1,0,0
13-10-2025,Tamil Nadu,Vellore,632013,1,0,0
13-10-2025,Tamil Nadu,Vellore,632104,2,0,0
13-10-2025,Tamil Nadu,Vellore,632204,1,0,0
13-10-2025,Tamil Nadu,Vellore,632319,1,0,0
13-10-2025,Tamil Nadu,Vellore,632401,2,0,0
13-10-2025,Tamil Nadu,Vellore,632406,1,0,0
13-10-2025,Tamil Nadu,Vellore,632515,0,1,0
13-10-2025,Tamil Nadu,Vellore,632602,3,0,0
13-10-2025,Tamil Nadu,Vellore,635602,1,1,0
13-10-2025,Tamil Nadu,Vellore,635655,1,0,0
13-10-2025,Tamil Nadu,Vellore,635702,1,0,0
13-10-2025,Tamil Nadu,Vellore,635710,1,0,0
13-10-2025,Tamil Nadu,Vellore,635751,6,0,0
15-10-2025,Tamil Nadu,Vellore,631101,2,0,0
15-10-2025,Tamil Nadu,Vellore,632006,1,1,0
15-10-2025,Tamil Nadu,Vellore,632401,3,2,0
15-10-2025,Tamil Nadu,Vellore,632506,3,1,0
15-10-2025,Tamil Nadu,Vellore,632515,3,0,0
15-10-2025,Tamil Nadu,Vellore,632531,1,0,0
15-10-2025,Tamil Nadu,Vellore,635805,0,1,0
15-10-2025,Tamil Nadu,Vellore,635851,1,0,0
16-10-2025,Tamil Nadu,Vellore,631001,1,0,0
16-10-2025,Tamil Nadu,Vellore,631151,1,0,0
16-10-2025,Tamil Nadu,Vellore,632404,1,0,0
16-10-2025,Tamil Nadu,Vellore,632501,3,0,0
16-10-2025,Tamil Nadu,Vellore,632521,1,0,0
16-10-2025,Tamil Nadu,Vellore,635805,2,0,0
17-10-2025,Tamil Nadu,Vellore,631001,1,0,0
17-10-2025,Tamil Nadu,Vellore,631002,3,0,0
17-10-2025,Tamil Nadu,Vellore,631004,0,1,0
17-10-2025,Tamil Nadu,Vellore,632006,1,0,0
17-10-2025,Tamil Nadu,Vellore,632007,5,0,0
17-10-2025,Tamil Nadu,Vellore,632009,4,1,0
17-10-2025,Tamil Nadu,Vellore,632013,2,0,0
17-10-2025,Tamil Nadu,Vellore,632059,1,0,0
17-10-2025,Tamil Nadu,Vellore,632101,2,0,0
17-10-2025,Tamil Nadu,Vellore,632113,5,0,0
17-10-2025,Tamil Nadu,Vellore,632312,1,0,0
17-10-2025,Tamil Nadu,Vellore,632318,1,1,0
17-10-2025,Tamil Nadu,Vellore,632406,1,0,0
17-10-2025,Tamil Nadu,Vellore,632506,5,1,0
17-10-2025,Tamil Nadu,Vellore,632513,2,1,0
17-10-2025,Tamil Nadu,Vellore,632515,2,0,0
17-10-2025,Tamil Nadu,Vellore,632601,2,0,0
17-10-2025,Tamil Nadu,Vellore,632604,0,1,0
17-10-2025,Tamil Nadu,Vellore,635602,6,0,0
17-10-2025,Tamil Nadu,Vellore,635652,2,0,0
17-10-2025,Tamil Nadu,Vellore,635654,1,0,0
17-10-2025,Tamil Nadu,Vellore,635655,1,0,0
17-10-2025,Tamil Nadu,Vellore,635701,1,0,0
17-10-2025,Tamil Nadu,Vellore,635754,3,0,0
17-10-2025,Tamil Nadu,Vellore,635810,12,2,0
17-10-2025,Tamil Nadu,Vellore,635814,4,0,0
17-10-2025,Tamil Nadu,Vellore,635852,3,0,0
20-10-2025,Tamil Nadu,Vellore,632006,1,0,0
20-10-2025,Tamil Nadu,Vellore,632508,1,0,0
20-10-2025,Tamil Nadu,Vellore,632513,2,0,0
20-10-2025,Tamil Nadu,Vellore,635602,1,0,0
20-10-2025,Tamil Nadu,Vellore,635654,0,1,0
20-10-2025,Tamil Nadu,Vellore,635802,1,0,0
20-10-2025,Tamil Nadu,Vellore,635853,2,0,0
18-10-2025,Tamil Nadu,Vellore,631001,1,0,0
18-10-2025,Tamil Nadu,Vellore,632006,4,0,0
18-10-2025,Tamil Nadu,Vellore,632013,1,1,0
18-10-2025,Tamil Nadu,Vellore,632106,1,0,0
18-10-2025,Tamil Nadu,Vellore,632404,4,0,0
18-10-2025,Tamil Nadu,Vellore,632501,4,0,0
18-10-2025,Tamil Nadu,Vellore,632506,1,2,0
18-10-2025,Tamil Nadu,Vellore,632515,4,0,0
18-10-2025,Tamil Nadu,Vellore,635751,3,1,0
18-10-2025,Tamil Nadu,Vellore,635804,2,0,0
18-10-2025,Tamil Nadu,Vellore,635809,1,0,0
18-10-2025,Tamil Nadu,Vellore,635810,7,2,0
18-10-2025,Tamil Nadu,Vellore,635814,1,0,0
18-10-2025,Tamil Nadu,Vellore,635854,2,0,0
18-10-2025,Tamil Nadu,Vellore,635901,1,0,0
19-10-2025,Tamil Nadu,Vellore,631002,1,2,0
19-10-2025,Tamil Nadu,Vellore,631003,2,0,0
19-10-2025,Tamil Nadu,Vellore,632002,2,1,0
19-10-2025,Tamil Nadu,Vellore,632013,1,0,0
19-10-2025,Tamil Nadu,Vellore,632401,2,0,0
19-10-2025,Tamil Nadu,Vellore,632505,1,0,0
19-10-2025,Tamil Nadu,Vellore,632601,2,0,0
19-10-2025,Tamil Nadu,Vellore,635701,0,1,0
19-10-2025,Tamil Nadu,Vellore,635802,3,1,0
19-10-2025,Tamil Nadu,Vellore,635852,2,0,0
21-10-2025,Tamil Nadu,Vellore,632006,1,0,0
21-10-2025,Tamil Nadu,Vellore,635652,2,0,0
21-10-2025,Tamil Nadu,Vellore,635810,1,0,0
24-10-2025,Tamil Nadu,Vellore,632002,2,0,0
24-10-2025,Tamil Nadu,Vellore,632113,1,0,0
24-10-2025,Tamil Nadu,Vellore,632501,1,0,0
24-10-2025,Tamil Nadu,Vellore,632503,1,0,0
24-10-2025,Tamil Nadu,Vellore,632504,1,0,0
24-10-2025,Tamil Nadu,Vellore,632509,3,0,0
24-10-2025,Tamil Nadu,Vellore,632512,1,0,0
24-10-2025,Tamil Nadu,Vellore,635653,0,1,0
24-10-2025,Tamil Nadu,Vellore,635754,1,0,0
24-10-2025,Tamil Nadu,Vellore,635801,1,0,0
24-10-2025,Tamil Nadu,Vellore,635854,1,0,0
25-10-2025,Tamil Nadu,Vellore,632001,1,0,0
25-10-2025,Tamil Nadu,Vellore,632012,2,0,0
25-10-2025,Tamil Nadu,Vellore,632101,1,2,0
25-10-2025,Tamil Nadu,Vellore,632401,1,0,0
25-10-2025,Tamil Nadu,Vellore,632405,3,0,0
25-10-2025,Tamil Nadu,Vellore,632510,3,0,0
25-10-2025,Tamil Nadu,Vellore,632515,2,0,0
25-10-2025,Tamil Nadu,Vellore,632602,1,1,0
25-10-2025,Tamil Nadu,Vellore,635652,0,1,0
25-10-2025,Tamil Nadu,Vellore,635653,2,0,0
25-10-2025,Tamil Nadu,Vellore,635802,2,0,0
25-10-2025,Tamil Nadu,Vellore,635852,2,0,0
28-10-2025,Tamil Nadu,Vellore,631003,3,0,0
28-10-2025,Tamil Nadu,Vellore,631151,1,1,0
28-10-2025,Tamil Nadu,Vellore,632603,1,0,0
28-10-2025,Tamil Nadu,Vellore,635702,2,0,0
28-10-2025,Tamil Nadu,Vellore,635801,1,0,0
28-10-2025,Tamil Nadu,Vellore,635802,5,1,0
28-10-2025,Tamil Nadu,Vellore,635805,1,0,0
28-10-2025,Tamil Nadu,Vellore,635810,3,0,0
28-10-2025,Tamil Nadu,Vellore,635813,1,0,0
28-10-2025,Tamil Nadu,Vellore,635814,1,0,0
27-10-2025,Tamil Nadu,Vellore,631003,2,0,0
27-10-2025,Tamil Nadu,Vellore,631051,1,0,0
27-10-2025,Tamil Nadu,Vellore,632004,1,0,0
27-10-2025,Tamil Nadu,Vellore,632007,0,1,0
27-10-2025,Tamil Nadu,Vellore,632008,2,0,0
27-10-2025,Tamil Nadu,Vellore,632106,1,0,0
27-10-2025,Tamil Nadu,Vellore,635653,2,0,0
27-10-2025,Tamil Nadu,Vellore,635751,3,0,0
27-10-2025,Tamil Nadu,Vellore,635752,2,0,0
27-10-2025,Tamil Nadu,Vellore,635901,1,0,0
29-10-2025,Tamil Nadu,Vellore,631003,1,0,0
29-10-2025,Tamil Nadu,Vellore,631051,1,0,0
29-10-2025,Tamil Nadu,Vellore,632508,1,0,0
29-10-2025,Tamil Nadu,Vellore,632513,1,0,0
29-10-2025,Tamil Nadu,Vellore,635654,1,1,0
30-10-2025,Tamil Nadu,Vellore,631003,3,0,0
30-10-2025,Tamil Nadu,Vellore,631052,2,0,0
30-10-2025,Tamil Nadu,Vellore,631151,4,1,0
30-10-2025,Tamil Nadu,Vellore,632004,2,0,0
30-10-2025,Tamil Nadu,Vellore,632012,1,0,0
30-10-2025,Tamil Nadu,Vellore,632059,1,0,0
30-10-2025,Tamil Nadu,Vellore,632101,2,0,0
30-10-2025,Tamil Nadu,Vellore,632107,6,0,0
30-10-2025,Tamil Nadu,Vellore,632203,1,0,0
30-10-2025,Tamil Nadu,Vellore,632513,3,1,0
30-10-2025,Tamil Nadu,Vellore,632516,1,1,0
30-10-2025,Tamil Nadu,Vellore,632518,1,0,0
30-10-2025,Tamil Nadu,Vellore,632602,5,0,0
30-10-2025,Tamil Nadu,Vellore,635805,2,0,0
30-10-2025,Tamil Nadu,Vellore,635808,4,0,0
30-10-2025,Tamil Nadu,Vellore,635853,1,0,0
31-10-2025,Tamil Nadu,Vellore,631001,1,0,0
31-10-2025,Tamil Nadu,Vellore,631003,1,0,0
31-10-2025,Tamil Nadu,Vellore,631151,2,0,0
31-10-2025,Tamil Nadu,Vellore,632001,3,0,0
31-10-2025,Tamil Nadu,Vellore,632004,1,0,0
31-10-2025,Tamil Nadu,Vellore,632058,1,0,0
31-10-2025,Tamil Nadu,Vellore,632113,1,0,0
31-10-2025,Tamil Nadu,Vellore,632404,6,0,0
31-10-2025,Tamil Nadu,Vellore,632506,1,1,0
31-10-2025,Tamil Nadu,Vellore,632507,2,1,0
31-10-2025,Tamil Nadu,Vellore,632513,1,0,0
31-10-2025,Tamil Nadu,Vellore,632519,2,0,0
31-10-2025,Tamil Nadu,Vellore,635808,1,0,0
31-10-2025,Tamil Nadu,Vellore,635814,2,0,0
01-11-2025,Tamil Nadu,Vellore,631004,0,1,0
01-11-2025,Tamil Nadu,Vellore,632002,4,0,0
